Both sexes,15 - 19 years,Monaghan,4016
Both sexes,20 - 24 years,Carlow,3324
Both sexes,20 - 24 years,Dublin City,44484
Both sexes,20 - 24 years,D�n Laoghaire-Rathdown,15622
Both sexes,20 - 24 years,Fingal,15757
Both sexes,20 - 24 years,South Dublin,16120
Both sexes,20 - 24 years,Kildare,12478
Both sexes,20 - 24 years,Kilkenny,4663
Both sexes,20 - 24 years,Laois,4107
Both sexes,20 - 24 years,Longford,1954
Both sexes,20 - 24 years,Louth,7078
Both sexes,20 - 24 years,Meath,9372
Both sexes,20 - 24 years,Offaly,3948
Both sexes,20 - 24 years,Westmeath,5018
Both sexes,20 - 24 years,Wexford,7167
Both sexes,20 - 24 years,Wicklow,7148
Both sexes,20 - 24 years,Clare,5753
Both sexes,20 - 24 years,Cork City,12717
Both sexes,20 - 24 years,Cork County,19783
Both sexes,20 - 24 years,Kerry,6715
Both sexes,20 - 24 years,Limerick City and County,12610
Both sexes,20 - 24 years,Tipperary,7752
Both sexes,20 - 24 years,Waterford City and County,6115
Both sexes,20 - 24 years,Galway City,8477
Both sexes,20 - 24 years,Galway County,7993
Both sexes,20 - 24 years,Leitrim,1293
Both sexes,20 - 24 years,Mayo,5792
Both sexes,20 - 24 years,Roscommon,2749
Both sexes,20 - 24 years,Sligo,3597
Both sexes,20 - 24 years,Cavan,3525
Both sexes,20 - 24 years,Donegal,7550
Both sexes,20 - 24 years,Monaghan,2975
Both sexes,25 - 29 years,Carlow,3388
Both sexes,25 - 29 years,Dublin City,60867
Both sexes,25 - 29 years,D�n Laoghaire-Rathdown,13759
Both sexes,25 - 29 years,Fingal,18840
Both sexes,25 - 29 years,South Dublin,18103
Both sexes,25 - 29 years,Kildare,12246
Both sexes,25 - 29 years,Kilkenny,5291
Both sexes,25 - 29 years,Laois,4899
Both sexes,25 - 29 years,Longford,2225
Both sexes,25 - 29 years,Louth,7613
Both sexes,25 - 29 years,Meath,9773
Both sexes,25 - 29 years,Offaly,4120
Both sexes,25 - 29 years,Westmeath,5191
Both sexes,25 - 29 years,Wexford,7787
Both sexes,25 - 29 years,Wicklow,7250
